epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,250.055,0.98275,1.71313,0.90193,1.10433,0.6517,0.53125,0.43795,0.2698,0.60149,0.5,0.39636,0.2316,1.82767,4.41643,1.82119,1.9564,0.0013763,0.0013763,0.0013763
65,253.251,1.15023,1.7436,1.04754,1.2569,0.60222,0.5,0.41621,0.26257,0.60222,0.5,0.39837,0.24134,1.80704,4.59252,1.75715,1.9201,0.0013664,0.0013664,0.0013664
66,257.986,1.03042,1.72645,0.87583,1.1257,0.60996,0.5,0.41514,0.25106,0.60996,0.5,0.39941,0.20398,1.75518,5.07344,1.87472,1.83597,0.0013565,0.0013565,0.0013565
67,262.282,1.04616,1.75139,0.93308,1.14128,0.70166,0.53125,0.45497,0.24023,0.66006,0.5,0.38049,0.18512,1.87585,5.86618,1.97069,1.90683,0.0013466,0.0013466,0.0013466
68,265.413,1.02709,1.60309,0.87123,1.11565,0.65603,0.5,0.44007,0.25683,0.61149,0.46875,0.37456,0.198,1.7211,5.77991,1.87717,1.83084,0.0013367,0.0013367,0.0013367
69,268.419,1.00848,1.63701,0.89846,1.1293,0.55553,0.46875,0.44416,0.26349,0.51815,0.4375,0.37532,0.19666,1.7165,5.56629,1.93142,1.77332,0.0013268,0.0013268,0.0013268
70,271.727,1.02441,1.66171,0.88636,1.14645,0.56685,0.46875,0.41338,0.23458,0.52845,0.4375,0.35096,0.16927,1.78092,5.25456,1.89942,1.83087,0.0013169,0.0013169,0.0013169
71,276.635,0.98667,1.57887,0.85048,1.09292,0.69471,0.49788,0.41264,0.24997,0.69471,0.49788,0.39593,0.19783,1.79393,5.72838,1.64511,1.88719,0.001307,0.001307,0.001307
72,281.088,1.00329,1.69178,0.85945,1.1204,0.66059,0.46875,0.41715,0.25444,0.66059,0.46875,0.40368,0.19442,1.78065,5.83975,1.70797,1.96826,0.0012971,0.0012971,0.0012971
73,284.106,0.9945,1.71442,0.9487,1.16307,0.63582,0.49129,0.43342,0.25479,0.63582,0.49129,0.40526,0.1804,1.80865,6.17763,1.71654,1.99531,0.0012872,0.0012872,0.0012872
74,287.159,0.96313,1.61528,0.84657,1.09326,0.55035,0.49732,0.42624,0.25838,0.55035,0.49732,0.38672,0.19476,1.79969,6.30125,1.62438,2.00354,0.0012773,0.0012773,0.0012773
75,290.199,1.05742,1.70544,0.91094,1.16069,0.54659,0.53125,0.47289,0.25444,0.66062,0.4375,0.42894,0.21004,1.98769,5.98453,1.70667,2.1867,0.0012674,0.0012674,0.0012674
76,294.691,0.99714,1.47964,0.84993,1.09267,0.66663,0.4375,0.51386,0.32354,0.66663,0.4375,0.48383,0.2829,1.63726,4.93199,1.69149,1.67722,0.0012575,0.0012575,0.0012575
77,299.014,0.98751,1.51589,0.81126,1.07932,0.59378,0.53125,0.49704,0.3297,0.56243,0.48228,0.46686,0.27684,1.65843,4.75397,1.72863,1.68288,0.0012476,0.0012476,0.0012476
78,302.062,0.87155,1.48458,0.74879,1.03159,0.67364,0.5,0.47076,0.32063,0.67364,0.5,0.45696,0.26206,1.59521,4.29102,1.65956,1.6494,0.0012377,0.0012377,0.0012377
79,305.168,0.93711,1.58546,0.81258,1.07246,0.71543,0.5,0.49474,0.32466,0.71543,0.5,0.49408,0.2532,1.73688,4.16157,1.59915,1.75807,0.0012278,0.0012278,0.0012278
80,308.584,1.00325,1.57885,0.87132,1.11645,0.62102,0.5,0.51816,0.33563,0.62102,0.5,0.49856,0.25274,1.72794,4.86646,1.50552,1.80663,0.0012179,0.0012179,0.0012179
81,312.991,0.97378,1.65582,0.80239,1.12492,0.56788,0.49302,0.46283,0.3088,0.56788,0.49302,0.45611,0.24496,1.69191,4.78715,1.60907,1.81161,0.001208,0.001208,0.001208
82,317.205,0.89326,1.55524,0.76624,1.04381,0.46634,0.65625,0.52566,0.34807,0.62511,0.46875,0.50999,0.28688,1.6775,4.15182,1.49343,1.79719,0.0011981,0.0011981,0.0011981
83,320.32,1.028,1.57428,0.84504,1.11045,0.57139,0.53125,0.5163,0.32872,0.63698,0.49372,0.4651,0.25457,1.61108,3.91068,1.63337,1.64125,0.0011882,0.0011882,0.0011882
84,323.391,1.00279,1.67133,0.87053,1.11518,0.69292,0.5,0.47339,0.32109,0.69292,0.5,0.46177,0.24534,1.65069,3.98881,1.69053,1.67239,0.0011783,0.0011783,0.0011783
85,326.702,0.94384,1.60842,0.80171,1.07909,0.74338,0.5,0.47689,0.32009,0.74338,0.5,0.46511,0.25257,1.6705,3.86183,1.75764,1.68984,0.0011684,0.0011684,0.0011684
86,331.462,0.97747,1.57579,0.80718,1.13286,0.65213,0.53125,0.44369,0.29371,0.63763,0.46875,0.4121,0.23624,1.68445,4.04328,1.91503,1.67199,0.0011585,0.0011585,0.0011585
87,335.496,0.92094,1.50184,0.74403,1.08474,0.6337,0.53125,0.43559,0.29575,0.59425,0.5,0.42242,0.2315,1.62883,4.55948,1.78085,1.65874,0.0011486,0.0011486,0.0011486
88,338.6,0.98454,1.71345,0.85941,1.12364,0.57921,0.53125,0.43944,0.25303,0.5107,0.46875,0.36122,0.19717,1.85871,5.48223,1.77632,1.90921,0.0011387,0.0011387,0.0011387
89,341.663,0.96247,1.55963,0.76169,1.12045,0.57248,0.54424,0.46682,0.26549,0.51307,0.4375,0.38695,0.19639,1.90468,6.13628,1.74583,1.9666,0.0011288,0.0011288,0.0011288
90,345.062,0.89027,1.53195,0.7412,1.07507,0.52569,0.58891,0.47664,0.30631,0.51944,0.59375,0.43311,0.23096,1.72835,5.64513,1.54286,1.87946,0.0011189,0.0011189,0.0011189
91,349.961,0.93453,1.5223,0.79509,1.10641,0.63108,0.59375,0.51058,0.31973,0.63108,0.59375,0.50784,0.25497,1.73012,4.9866,1.43269,1.78118,0.001109,0.001109,0.001109
92,353.726,0.91035,1.50668,0.7537,1.06095,0.59423,0.5625,0.53,0.30713,0.59423,0.5625,0.52212,0.25785,1.70455,4.78961,1.57243,1.67774,0.0010991,0.0010991,0.0010991
93,356.749,0.88125,1.47047,0.74622,1.06455,0.61829,0.5625,0.51918,0.31544,0.64332,0.53125,0.48382,0.25401,1.65323,4.99504,1.56527,1.66836,0.0010892,0.0010892,0.0010892
94,359.885,0.87154,1.51697,0.69583,1.07034,0.72762,0.5625,0.54488,0.31906,0.68671,0.53125,0.49225,0.24965,1.58865,5.05872,1.70153,1.66825,0.0010793,0.0010793,0.0010793
95,363.558,0.9395,1.50632,0.70624,1.10617,0.69111,0.46875,0.47958,0.30285,0.60789,0.5,0.4129,0.22327,1.72649,5.19648,1.80579,1.76786,0.0010694,0.0010694,0.0010694
96,368.459,0.92873,1.44751,0.75158,1.09565,0.6628,0.4375,0.45089,0.26332,0.6628,0.4375,0.41562,0.19847,1.79742,5.26294,1.80783,1.86539,0.0010595,0.0010595,0.0010595
97,372.389,0.8933,1.44231,0.70858,1.08311,0.6489,0.46875,0.44076,0.26681,0.6489,0.46875,0.41523,0.21071,1.74593,5.11617,1.8096,1.83717,0.0010496,0.0010496,0.0010496
98,375.477,0.85368,1.39539,0.67573,1.00792,0.56888,0.53125,0.45339,0.28545,0.56888,0.53125,0.44181,0.21882,1.68315,4.75236,1.75004,1.82014,0.0010397,0.0010397,0.0010397
99,378.603,0.87741,1.48978,0.66052,1.04796,0.66415,0.5625,0.52211,0.32227,0.66001,0.5,0.47871,0.24053,1.70845,5.02166,1.58092,1.80201,0.0010298,0.0010298,0.0010298
100,381.649,0.86524,1.48159,0.72454,1.04456,0.71884,0.5625,0.53337,0.29989,0.72339,0.53125,0.50208,0.23552,1.791,5.52639,1.57895,1.8373,0.0010199,0.0010199,0.0010199
101,386.296,0.90865,1.43893,0.70657,1.06663,0.72038,0.59375,0.54193,0.28909,0.63977,0.53125,0.4571,0.23305,1.87455,5.63761,1.59155,1.92728,0.00101,0.00101,0.00101
102,390.933,0.87838,1.48646,0.69922,1.06286,0.62569,0.47019,0.49258,0.28407,0.59948,0.46777,0.457,0.23957,1.94427,5.70351,1.75622,2.04235,0.0010001,0.0010001,0.0010001
